,features,dicationary
last_total_day_cash_install_unpopular_second_app_total,6.0,最近total天_cash_install_unpopular_second_app_total数
last_total_day_cash_install_unpopular_second_app_total_to_whole_ratio,0.017543859649122806,最近total天_cash_install_unpopular_second_app_total数与总数比值
last_total_day_cash_install_middle_app_total,6.0,最近total天_cash_install_middle_app_total数
last_total_day_cash_install_middle_app_total_to_whole_ratio,0.017543859649122806,最近total天_cash_install_middle_app_total数与总数比值
last_total_day_cash_install_popular_app_total,15.0,最近total天_cash_install_popular_app_total数
last_total_day_cash_install_popular_app_total_to_whole_ratio,0.043859649122807015,最近total天_cash_install_popular_app_total数与总数比值
last_total_cate_gory_kind1_total_cnt,31.0,最近total天第一类app total 数
last_total_cate_gory_kind2_total_cnt,1.0,最近total天第二类app total 数
last_total_cate_gory_kind1_total_ratio,0.09064327485380116,最近total天第一类app total 占比
last_total_cate_gory_kind2_total_ratio,0.0029239766081871343,最近total天第二类app total 占比
last_3_days_app_only_install_cnt,1.0,最近3天_app_only_install_个数
last_3_days_review_only_install_max,-9999.0,最近3天_热评_only_install_最大数
last_3_days_review_only_install_sum,-9999.0,最近3天_热评_only_install_合计
last_3_days_review_only_install_avg,-9999.0,最近3天_热评_only_install_均值
last_3_days_review_only_install_min,,最近3天_热评_only_install_最小数
last_3_days_game_only_install_cnt,0.0,最近3天game_only_install_个数
last_3_days_game_only_install_to_whole_ratio,0.0,最近3天game_only_install_个数与总app数比值
last_3_days_tools_only_install_cnt,0.0,最近3天tools_only_install_个数
last_3_days_tools_only_install_to_whole_ratio,0.0,最近3天tools_only_install_个数与总app数比值
last_3_days_video_music_only_install_cnt,0.0,最近3天video_music_only_install_个数
last_3_days_video_music_only_install_to_whole_ratio,0.0,最近3天video_music_only_install_个数与总app数比值
last_3_days_lifestyle_only_install_cnt,0.0,最近3天lifestyle_only_install_个数
last_3_days_lifestyle_only_install_to_whole_ratio,0.0,最近3天lifestyle_only_install_个数与总app数比值
last_3_days_education_only_install_cnt,0.0,最近3天education_only_install_个数
last_3_days_education_only_install_to_whole_ratio,0.0,最近3天education_only_install_个数与总app数比值
last_3_days_personal_only_install_cnt,0.0,最近3天personal_only_install_个数
last_3_days_personal_only_install_to_whole_ratio,0.0,最近3天personal_only_install_个数与总app数比值
last_3_days_ebook_only_install_cnt,0.0,最近3天ebook_only_install_个数
last_3_days_ebook_only_install_to_whole_ratio,0.0,最近3天ebook_only_install_个数与总app数比值
last_3_days_effication_only_install_cnt,0.0,最近3天effication_only_install_个数
last_3_days_effication_only_install_to_whole_ratio,0.0,最近3天effication_only_install_个数与总app数比值
last_3_days_entertainment_only_install_cnt,0.0,最近3天entertainment_only_install_个数
last_3_days_entertainment_only_install_to_whole_ratio,0.0,最近3天entertainment_only_install_个数与总app数比值
last_3_days_communication_only_install_cnt,0.0,最近3天communication_only_install_个数
last_3_days_communication_only_install_to_whole_ratio,0.0,最近3天communication_only_install_个数与总app数比值
last_3_days_finance_only_install_cnt,0.0,最近3天finance_only_install_个数
last_3_days_finance_only_install_to_whole_ratio,0.0,最近3天finance_only_install_个数与总app数比值
last_3_days_travel_only_install_cnt,0.0,最近3天travel_only_install_个数
last_3_days_travel_only_install_to_whole_ratio,0.0,最近3天travel_only_install_个数与总app数比值
last_3_days_business_only_install_cnt,0.0,最近3天business_only_install_个数
last_3_days_business_only_install_to_whole_ratio,0.0,最近3天business_only_install_个数与总app数比值
last_3_days_shopping_only_install_cnt,0.0,最近3天shopping_only_install_个数
last_3_days_shopping_only_install_to_whole_ratio,0.0,最近3天shopping_only_install_个数与总app数比值
last_3_days_gamble_only_install_cnt,0.0,最近3天gamble_only_install_个数
last_3_days_gamble_only_install_to_whole_ratio,0.0,最近3天gamble_only_install_个数与总app数比值
last_3_days_social_only_install_cnt,0.0,最近3天social_only_install_个数
last_3_days_social_only_install_to_whole_ratio,0.0,最近3天social_only_install_个数与总app数比值
last_3_days_others_only_install_cnt,0.0,最近3天others_only_install_个数
last_3_days_others_only_install_to_whole_ratio,0.0,最近3天others_only_install_个数与总app数比值
last_3_days_only_install_category_unique,1.0,最近3only_install不同种类数
